filepath,label,duration_s,segment_index,iters,time_sec,J_final
./recordings/H1/180926_1851.wav,1,5,1,100,0.5375046730041504,1.5644284410389694e-06
./recordings/H1/180926_1851.wav,1,5,2,22,0.2993326187133789,1.093811214326354e-06
./recordings/H1/180926_1851.wav,1,5,3,17,0.21062016487121582,5.366440556031543e-07
./recordings/H1/180926_1851.wav,1,5,4,11,0.10167956352233887,3.690064641313551e-07
./recordings/H1/180926_1851.wav,1,5,5,100,0.06622052192687988,6.715671719308026e-07
./recordings/H1/180930_0906.wav,1,5,1,17,0.08355832099914551,2.534075066921808e-06
./recordings/H1/180930_0906.wav,1,5,2,23,0.1258387565612793,9.90359354783232e-06
./recordings/H1/180930_0906.wav,1,5,3,17,0.009124040603637695,5.079173282355996e-07
./recordings/H1/180930_0906.wav,1,5,4,100,0.49021196365356445,9.548060768485252e-07
./recordings/H1/180930_0906.wav,1,5,5,27,0.2926034927368164,9.4428732743262e-07
./recordings/H1/181005_2000.wav,1,5,1,17,0.010085582733154297,2.986440694393751e-07
./recordings/H1/181005_2000.wav,1,5,2,20,0.19987082481384277,7.328643815726206e-07
./recordings/H1/181005_2000.wav,1,5,3,7,0.047716379165649414,2.1938301931933207e-07
./recordings/H1/181005_2000.wav,1,5,4,17,0.10848450660705566,4.6963930176904214e-07
./recordings/H1/181005_2000.wav,1,5,5,100,0.6304996013641357,1.62916834794018e-07
./recordings/H1/181005_2023.wav,1,5,1,27,0.05555129051208496,1.4200032696764884e-07
./recordings/H1/181005_2023.wav,1,5,2,100,0.16562175750732422,3.0598144174996597e-07
./recordings/H1/181005_2023.wav,1,5,3,100,0.37848854064941406,2.813642650660098e-07
./recordings/H1/181005_2023.wav,1,5,4,53,0.38344573974609375,9.992303903017831e-08
./recordings/H1/181005_2023.wav,1,5,5,10,0.006376504898071289,1.1302933887815968e-07
./recordings/H1/181008_2000.wav,1,5,1,100,0.5690605640411377,6.115360346347337e-06
./recordings/H1/181008_2000.wav,1,5,2,17,0.11272478103637695,2.883508385347618e-06
./recordings/H1/181008_2000.wav,1,5,3,33,0.15394234657287598,1.8439169819084444e-06
./recordings/H1/181008_2000.wav,1,5,4,17,0.1545882225036621,2.4249951038156514e-06
./recordings/H1/181008_2000.wav,1,5,5,22,0.1519026756286621,3.164983575982652e-06
./recordings/H1/181009_1601.wav,1,5,1,25,0.015350818634033203,5.223707480997771e-06
./recordings/H1/181009_1601.wav,1,5,2,100,0.48599815368652344,6.3484819662976324e-06
./recordings/H1/181009_1601.wav,1,5,3,17,0.12663030624389648,5.049857235691203e-06
./recordings/H1/181009_1601.wav,1,5,4,100,0.482175350189209,1.1025146678107696e-05
./recordings/H1/181009_1601.wav,1,5,5,14,0.008550882339477539,3.690977881108156e-06
./recordings/H1/181009_1611.wav,1,5,1,100,0.4822564125061035,1.5447821756374356e-05
./recordings/H1/181009_1611.wav,1,5,2,21,0.012996673583984375,4.526897652638101e-06
./recordings/H1/181009_1611.wav,1,5,3,13,0.15816497802734375,7.38321821521088e-06
./recordings/H1/181009_1611.wav,1,5,4,35,0.3668539524078369,6.198231761901815e-06
./recordings/H1/181009_1611.wav,1,5,5,34,0.17786502838134766,9.849609207650438e-06
./recordings/H1/181010_2123.wav,1,5,1,100,0.06145453453063965,1.579516700292153e-06
./recordings/H1/181010_2123.wav,1,5,2,27,0.18149304389953613,1.0127424379378801e-06
./recordings/H1/181010_2123.wav,1,5,3,53,0.28460144996643066,9.102143846484163e-07
./recordings/H1/181010_2123.wav,1,5,4,22,0.1078498363494873,3.1141340170668203e-06
./recordings/H1/181010_2123.wav,1,5,5,21,0.22528553009033203,1.9007757494943044e-06
./recordings/H1/181010_2136.wav,1,5,1,25,0.14611196517944336,9.398200335683025e-06
./recordings/H1/181010_2136.wav,1,5,2,18,0.11343264579772949,1.0818628061542573e-05
./recordings/H1/181010_2136.wav,1,5,3,18,0.16030216217041016,1.297354829114301e-05
./recordings/H1/181010_2136.wav,1,5,4,13,0.05812406539916992,6.39637540838215e-06
./recordings/H1/181010_2136.wav,1,5,5,15,0.009112119674682617,6.491004385102852e-06
./recordings/H1/181012_1038.wav,1,5,1,100,0.20367836952209473,8.624468786897091e-07
./recordings/H1/181012_1038.wav,1,5,2,14,0.12484550476074219,1.3578756613844194e-06
./recordings/H1/181012_1038.wav,1,5,3,18,0.15745091438293457,1.2527967907135311e-06
./recordings/H1/181012_1038.wav,1,5,4,13,0.08479881286621094,2.5971892275203284e-05
./recordings/H1/181012_1038.wav,1,5,5,17,0.27327418327331543,1.331571434229389e-06
./recordings/H1/181016_1307.wav,1,5,1,100,0.4757349491119385,1.2076013049781161e-06
./recordings/H1/181016_1307.wav,1,5,2,100,0.30100154876708984,5.277516974551382e-07
./recordings/H1/181016_1307.wav,1,5,3,17,0.16773366928100586,4.614987885336055e-07
./recordings/H1/181016_1307.wav,1,5,4,18,0.020144939422607422,3.0688360936914995e-07
./recordings/H1/181016_1307.wav,1,5,5,18,0.3460981845855713,5.916748586821383e-07
./recordings/H1/181017_1544.wav,1,5,1,22,0.20612096786499023,1.2696990242715481e-06
./recordings/H1/181017_1544.wav,1,5,2,30,0.29523682594299316,1.0657067155687963e-06
./recordings/H1/181017_1544.wav,1,5,3,100,0.18377447128295898,3.3243358023527983e-06
./recordings/H1/181017_1544.wav,1,5,4,17,0.22617197036743164,1.5927002465080422e-06
